# wavelength flux(cal) flux
3945.7613 5.721807e+03 7.309514e+03
3946.9882 5.575756e+03 7.103629e+03
3948.2151 5.655883e+03 7.186414e+03
3949.4420 5.395357e+03 6.837248e+03
3950.6689 5.688597e+03 7.190014e+03
3951.8958 5.854869e+03 7.381066e+03
3953.1227 5.715708e+03 7.187258e+03
3954.3497 5.615958e+03 7.044047e+03
3955.5766 5.438643e+03 6.804684e+03
3956.8035 5.590580e+03 6.977615e+03
3958.0304 5.749278e+03 7.158301e+03
3959.2573 5.455691e+03 6.776518e+03
3960.4842 5.662329e+03 7.016582e+03
3961.7111 5.932250e+03 7.333939e+03
3962.9380 5.515929e+03 6.803578e+03
3964.1649 5.679011e+03 6.988850e+03
3965.3918 5.836918e+03 7.167113e+03
3966.6188 6.186377e+03 7.579456e+03
3967.8457 6.063319e+03 7.412529e+03
3969.0726 5.877805e+03 7.170322e+03
3970.2995 5.997475e+03 7.300838e+03
3971.5264 6.176912e+03 7.503598e+03
3972.7533 5.890685e+03 7.141193e+03
3973.9802 5.575035e+03 6.744854e+03
3975.2071 5.689192e+03 6.869236e+03
3976.4340 5.633970e+03 6.789193e+03
3977.6609 5.611335e+03 6.748830e+03
3978.8878 5.697666e+03 6.839600e+03
3980.1148 5.656633e+03 6.777600e+03
3981.3417 5.543737e+03 6.630059e+03
3982.5686 5.360991e+03 6.399842e+03
3983.7955 5.034008e+03 5.998740e+03
3985.0224 5.357800e+03 6.373342e+03
3986.2493 5.462041e+03 6.486084e+03
3987.4762 5.436449e+03 6.444693e+03
3988.7031 5.734012e+03 6.786053e+03
3989.9300 5.505290e+03 6.504633e+03
3991.1569 5.220301e+03 6.157924e+03
3992.3839 5.523805e+03 6.505570e+03
3993.6108 5.503806e+03 6.471881e+03
3994.8377 5.783693e+03 6.790553e+03
3996.0646 5.848563e+03 6.856357e+03
3997.2915 6.359926e+03 7.444793e+03
3998.5184 6.845972e+03 8.002098e+03
3999.7453 7.258553e+03 8.472250e+03
4000.9722 7.815461e+03 9.109510e+03
4002.1991 8.122561e+03 9.454461e+03
4003.4260 8.137203e+03 9.458754e+03
4004.6529 7.992567e+03 9.278369e+03
4005.8799 7.089367e+03 8.219225e+03
4007.1068 6.433144e+03 7.448969e+03
4008.3337 6.104025e+03 7.059111e+03
4009.5606 5.813242e+03 6.714664e+03
4010.7875 5.764384e+03 6.650314e+03
4012.0144 5.718852e+03 6.590111e+03
4013.2413 5.859522e+03 6.744533e+03
4014.4682 5.724960e+03 6.582320e+03
4015.6951 5.640109e+03 6.477715e+03
4016.9220 5.865463e+03 6.729385e+03
4018.1490 5.946103e+03 6.814832e+03
4019.3759 6.193371e+03 7.091047e+03
4020.6028 6.365866e+03 7.281352e+03
4021.8297 6.313662e+03 7.214691e+03
4023.0566 6.410876e+03 7.318910e+03
4024.2835 6.631875e+03 7.564297e+03
4025.5104 6.782155e+03 7.728828e+03
4026.7373 6.594110e+03 7.508035e+03
4027.9642 6.255543e+03 7.116553e+03
4029.1911 5.460431e+03 6.206924e+03
4030.4180 5.961837e+03 6.771498e+03
4031.6450 6.042500e+03 6.857830e+03
4032.8719 5.911073e+03 6.703658e+03
4034.0988 6.110307e+03 6.924592e+03
4035.3257 5.878065e+03 6.656734e+03
4036.5526 5.987514e+03 6.776086e+03
4037.7795 5.647885e+03 6.387541e+03
4039.0064 5.810034e+03 6.566771e+03
4040.2333 5.686443e+03 6.423164e+03
4041.4602 5.875687e+03 6.633027e+03
4042.6871 5.795454e+03 6.538756e+03
4043.9141 5.588063e+03 6.301342e+03
4045.1410 5.527090e+03 6.229338e+03
4046.3679 6.024719e+03 6.786803e+03
4047.5948 6.036603e+03 6.796941e+03
4048.8217 5.766876e+03 6.490279e+03
4050.0486 5.501958e+03 6.189438e+03
4051.2755 5.637551e+03 6.339350e+03
4052.5024 5.755427e+03 6.469359e+03
4053.7293 5.486793e+03 6.165111e+03
4054.9562 5.542271e+03 6.225264e+03
4056.1831 5.872318e+03 6.593807e+03
4057.4101 5.783863e+03 6.492473e+03
4058.6370 5.591470e+03 6.274693e+03
4059.8639 5.541996e+03 6.217502e+03
4061.0908 5.609269e+03 6.291408e+03
4062.3177 5.436304e+03 6.096014e+03
4063.5446 5.381693e+03 6.033514e+03
4064.7715 5.818125e+03 6.521570e+03
4065.9984 5.126408e+03 5.745244e+03
4067.2253 5.519544e+03 6.184908e+03
4068.4522 5.553566e+03 6.222215e+03
4069.6792 5.606822e+03 6.281178e+03
4070.9061 5.503091e+03 6.164396e+03
4072.1330 5.390248e+03 6.037545e+03
4073.3599 5.429831e+03 6.081543e+03
4074.5868 5.556627e+03 6.223328e+03
4075.8137 5.620084e+03 6.294281e+03
4077.0406 5.254356e+03 5.884678e+03
4078.2675 5.535843e+03 6.200043e+03
4079.4944 5.419078e+03 6.069486e+03
4080.7213 5.453653e+03 6.108539e+03
4081.9482 5.414662e+03 6.065299e+03
4083.1752 5.667453e+03 6.349031e+03
4084.4021 5.482544e+03 6.142539e+03
4085.6290 5.433951e+03 6.088850e+03
4086.8559 5.372389e+03 6.020717e+03
4088.0828 5.376109e+03 6.025838e+03
4089.3097 5.560191e+03 6.233258e+03
4090.5366 5.385877e+03 6.039000e+03
4091.7635 5.137700e+03 5.761928e+03
4092.9904 5.120872e+03 5.744346e+03
4094.2173 5.271332e+03 5.914551e+03
4095.4443 5.273852e+03 5.918902e+03
4096.6712 5.246620e+03 5.889949e+03
4097.8981 5.615294e+03 6.305654e+03
4099.1250 5.423664e+03 6.092324e+03
4100.3519 5.591913e+03 6.283332e+03
4101.5788 6.082502e+03 6.836881e+03
4102.8057 6.099964e+03 6.858922e+03
4104.0326 6.361757e+03 7.155914e+03
4105.2595 6.298367e+03 7.087320e+03
4106.4864 6.454945e+03 7.266398e+03
4107.7133 6.361664e+03 7.164344e+03
4108.9403 5.973413e+03 6.729979e+03
4110.1672 5.692719e+03 6.416566e+03
4111.3941 5.347744e+03 6.030477e+03
4112.6210 5.105899e+03 5.760465e+03
4113.8479 5.031300e+03 5.679055e+03
4115.0748 5.267028e+03 5.948098e+03
4116.3017 5.092569e+03 5.754029e+03
4117.5286 5.319295e+03 6.013369e+03
4118.7555 5.124642e+03 5.796449e+03
4119.9824 5.074956e+03 5.743430e+03
4121.2094 5.170363e+03 5.854725e+03
4122.4363 5.181002e+03 5.870180e+03
4123.6632 5.162258e+03 5.852416e+03
4124.8901 5.206476e+03 5.906129e+03
4126.1170 5.104219e+03 5.793721e+03
4127.3439 5.250950e+03 5.964045e+03
4128.5708 5.338687e+03 6.067611e+03
4129.7977 5.247570e+03 5.967979e+03
4131.0246 5.192126e+03 5.908883e+03
4132.2515 5.148862e+03 5.863648e+03
4133.4784 5.147857e+03 5.866578e+03
4134.7054 5.153130e+03 5.876740e+03
4135.9323 5.124759e+03 5.848588e+03
4137.1592 5.014480e+03 5.726916e+03
4138.3861 5.095038e+03 5.823240e+03
4139.6130 5.147354e+03 5.887471e+03
4140.8399 4.849260e+03 5.550762e+03
4142.0668 4.860628e+03 5.568098e+03
4143.2937 5.107463e+03 5.855471e+03
4144.5206 5.058003e+03 5.803402e+03
4145.7475 5.176413e+03 5.944074e+03
4146.9745 4.953545e+03 5.692826e+03
4148.2014 4.812500e+03 5.535332e+03
4149.4283 4.835382e+03 5.566336e+03
4150.6552 4.909551e+03 5.656537e+03
4151.8821 4.932684e+03 5.688096e+03
4153.1090 5.101658e+03 5.888086e+03
4154.3359 4.841452e+03 5.592707e+03
4155.5628 5.002318e+03 5.783699e+03
4156.7897 4.904236e+03 5.675420e+03
4158.0166 5.107024e+03 5.915494e+03
4159.2436 5.165496e+03 5.988746e+03
4160.4705 5.042322e+03 5.851393e+03
4161.6974 5.022078e+03 5.833391e+03
4162.9243 5.203896e+03 6.050332e+03
4164.1512 4.973064e+03 5.787508e+03
4165.3781 4.730694e+03 5.510783e+03
4166.6050 5.241130e+03 6.111365e+03
4167.8319 5.404207e+03 6.307742e+03
4169.0588 5.465137e+03 6.385215e+03
4170.2857 5.264149e+03 6.156570e+03
4171.5126 4.955437e+03 5.801396e+03
4172.7396 4.969679e+03 5.824016e+03
4173.9665 4.887233e+03 5.733297e+03
4175.1934 4.958499e+03 5.822939e+03
4176.4203 4.764986e+03 5.601547e+03
4177.6472 4.718585e+03 5.552850e+03
4178.8741 4.706225e+03 5.544188e+03
4180.1010 4.615679e+03 5.443338e+03
4181.3279 4.737502e+03 5.593027e+03
4182.5548 4.722210e+03 5.581025e+03
4183.7817 4.762709e+03 5.635041e+03
4185.0087 4.568536e+03 5.411250e+03
4186.2356 5.032870e+03 5.967836e+03
4187.4625 4.774409e+03 5.667670e+03
4188.6894 4.711059e+03 5.598740e+03
4189.9163 4.925236e+03 5.859879e+03
4191.1432 4.536717e+03 5.403760e+03
4192.3701 4.388875e+03 5.233633e+03
4193.5970 4.824766e+03 5.760031e+03
4194.8239 4.640825e+03 5.546834e+03
4196.0508 4.460112e+03 5.337033e+03
4197.2777 4.431549e+03 5.309047e+03
4198.5047 4.550610e+03 5.458084e+03
4199.7316 4.521622e+03 5.429715e+03
4200.9585 4.423381e+03 5.318045e+03
4202.1854 4.412727e+03 5.311561e+03
4203.4123 4.436581e+03 5.346670e+03
4204.6392 4.413888e+03 5.325725e+03
4205.8661 4.449954e+03 5.375734e+03
4207.0930 4.547958e+03 5.500801e+03
4208.3199 4.522329e+03 5.476477e+03
4209.5468 4.501104e+03 5.457453e+03
4210.7738 4.445783e+03 5.397012e+03
4212.0007 4.403854e+03 5.352719e+03
4213.2276 4.420520e+03 5.379643e+03
4214.4545 4.337705e+03 5.285436e+03
4215.6814 4.450719e+03 5.429924e+03
4216.9083 4.524293e+03 5.526615e+03
4218.1352 4.319839e+03 5.283516e+03
4219.3621 4.386278e+03 5.371561e+03
4220.5890 4.396750e+03 5.391219e+03
4221.8159 4.319371e+03 5.303082e+03
4223.0428 4.176998e+03 5.134838e+03
4224.2698 4.316508e+03 5.313143e+03
4225.4967 4.603770e+03 5.674018e+03
4226.7236 4.342095e+03 5.358416e+03
4227.9505 4.377561e+03 5.409174e+03
4229.1774 3.946963e+03 4.883432e+03
4230.4043 4.166809e+03 5.162150e+03
4231.6312 4.311489e+03 5.348363e+03
4232.8581 4.317189e+03 5.362445e+03
4234.0850 4.134540e+03 5.142314e+03
4235.3119 4.461050e+03 5.555711e+03
4236.5389 4.397926e+03 5.484324e+03
4237.7658 4.553788e+03 5.686197e+03
4238.9927 4.723653e+03 5.906123e+03
4240.2196 4.775470e+03 5.978846e+03
4241.4465 4.813157e+03 6.034055e+03
4242.6734 5.054570e+03 6.345162e+03
4243.9003 4.990630e+03 6.273275e+03
4245.1272 4.852526e+03 6.107854e+03
4246.3541 4.656547e+03 5.869047e+03
4247.5810 4.426098e+03 5.586098e+03
4248.8079 4.249259e+03 5.370143e+03
4250.0349 4.032767e+03 5.103426e+03
4251.2618 3.879723e+03 4.916393e+03
4252.4887 4.026823e+03 5.109713e+03
4253.7156 4.071198e+03 5.173033e+03
4254.9425 4.007896e+03 5.099523e+03
4256.1694 3.954783e+03 5.038795e+03
4257.3963 3.722429e+03 4.749219e+03
4258.6232 3.693069e+03 4.718193e+03
4259.8501 3.712046e+03 4.748922e+03
4261.0770 3.911252e+03 5.010621e+03
4262.3040 3.985655e+03 5.112936e+03
4263.5309 4.139858e+03 5.318039e+03
4264.7578 3.955918e+03 5.088732e+03
4265.9847 3.881460e+03 4.999818e+03
4267.2116 3.591554e+03 4.632750e+03
4268.4385 4.118307e+03 5.319529e+03
4269.6654 3.945947e+03 5.103924e+03
4270.8923 4.060592e+03 5.259463e+03
4272.1192 3.896550e+03 5.053959e+03
4273.3461 4.261076e+03 5.534402e+03
4274.5730 3.977742e+03 5.173547e+03
4275.8000 3.876091e+03 5.048314e+03
4277.0269 3.977257e+03 5.187250e+03
4278.2538 4.018766e+03 5.248650e+03
4279.4807 4.035366e+03 5.277637e+03
4280.7076 3.998219e+03 5.236307e+03
4281.9345 3.887169e+03 5.097934e+03
4283.1614 3.894399e+03 5.114504e+03
4284.3883 4.036789e+03 5.308865e+03
4285.6152 4.135216e+03 5.445861e+03
4286.8421 4.027137e+03 5.310895e+03
4288.0691 3.881086e+03 5.125396e+03
4289.2960 3.796805e+03 5.021061e+03
4290.5229 3.735641e+03 4.947039e+03
4291.7498 3.965342e+03 5.258525e+03
4292.9767 4.096452e+03 5.439941e+03
4294.2036 3.993323e+03 5.310357e+03
4295.4305 3.985212e+03 5.306934e+03
4296.6574 4.141274e+03 5.522416e+03
4297.8843 4.104424e+03 5.480877e+03
4299.1112 4.047887e+03 5.412885e+03
4300.3381 4.052806e+03 5.426984e+03
