# Wavelength in nm, Data in W / (nm m2)
wavelength data
357.3365178837322 2.943471131367124e-18
357.3986269145221 5.447601823988958e-18
357.46073594531197 5.61258630588511e-18
357.52284497610185 9.66355818566606e-18
357.58495400689173 5.98094348113508e-18
357.64706303768156 2.134235788613128e-18
357.70917206847145 5.459546312034224e-18
357.77128109926133 6.122020788967224e-18
357.8333901300512 4.913549205106347e-18
357.89549916084104 8.748507831002749e-18
357.9576081916309 6.483103737910403e-18
358.0197172224208 5.690930236061232e-18
358.0818262532107 3.3339671753266166e-18
358.1439352840006 4.476902480025836e-18
358.20604431479046 2.181941155695439e-18
358.26815334558034 3.682556801888101e-18
358.33026237637023 3.5158749453749905e-18
358.3923714071601 5.197137324772189e-18
358.45448043794994 4.235339684971057e-18
358.5165894687398 4.153969928114215e-18
358.5786984995297 4.9862683071171086e-18
358.64080753031953 5.892099733853516e-18
358.7029165611094 4.997625496927462e-18
358.7650255918993 2.9217448189881123e-18
358.8271346226892 4.732734967827768e-18
358.88924365347907 7.487692671569822e-18
358.95135268426895 4.9974038125232974e-18
359.01346171505884 5.362250846843899e-18
359.0755707458487 5.1207058361722894e-18
359.1376797766386 6.580977815939209e-18
359.1997888074285 4.281428534341286e-18
359.2618978382183 6.01062520305532e-18
359.3240068690082 5.432971894085039e-18
359.3861158997981 4.813166288279668e-18
359.4482249305879 5.40595700245967e-18
359.5103339613778 4.510514550626622e-18
359.5724429921677 4.26349153634838e-18
359.63455202295756 1.317878937772933e-18
359.69666105374745 3.15702310933902e-18
359.75877008453733 2.8949189381327113e-18
359.8208791153272 3.938718921164135e-18
359.8829881461171 4.2730632568065375e-18
359.945097176907 2.752547092641922e-18
360.0072062076968 1.0648473869226824e-18
360.0693152384867 4.420707965112046e-18
360.1314242692766 2.4203300587398527e-18
360.19353330006646 5.087721595656431e-18
360.2556423308563 7.229855511553368e-18
360.3177513616462 2.480983904335916e-18
360.37986039243606 3.697913409960148e-18
360.44196942322594 4.0608682686295344e-18
360.5040784540158 3.274495991211351e-18
360.5661874848057 3.259492382465711e-18
360.6282965155956 5.202631458400766e-18
360.6904055463855 3.765584642282805e-18
360.75251457717536 4.601993281749474e-18
360.8146236079652 1.2021610229677101e-18
360.8767326387551 2.3461948235204e-18
360.93884166954496 3.4069950225010137e-18
361.0009507003348 3.2712778450382134e-18
361.06305973112467 4.047598637242959e-18
361.12516876191455 8.352167756015569e-19
361.18727779270444 3.892234265870799e-18
361.2493868234943 5.8480933116753884e-18
361.3114958542842 4.66436187275536e-18
361.3736048850741 5.067537561529525e-18
361.43571391586397 2.743696880473064e-18
361.49782294665386 9.82031097969639e-19
361.55993197744374 4.665989350610558e-18
361.62204100823357 2.3828157635993478e-18
361.68415003902345 2.185427515182197e-18
361.74625906981333 3.858843827975389e-19
361.80836810060316 3.4572197749340085e-18
361.87047713139305 3.3217354488136418e-18
361.93258616218293 2.6943718937513737e-18
361.9946951929728 4.471838893906093e-18
362.0568042237627 4.940208409068318e-18
362.1189132545526 4.400759263869411e-18
362.18102228534246 1.661039777974232e-18
362.24313131613235 2.1459854756241373e-18
362.30524034692223 3.6560100944894366e-18
362.3673493777121 4.181371526675953e-18
362.42945840850194 3.051050519523014e-18
362.4915674392918 3.0345379265449243e-18
362.5536764700817 2.294644100565483e-18
362.61578550087154 1.641864490604334e-18
362.6778945316614 1.9496365796466594e-18
362.7400035624513 2.829353294059308e-18
362.8021125932412 3.047541619364564e-18
362.8642216240311 3.7137481284262505e-18
362.92633065482096 3.110650537018685e-18
362.98843968561084 2.151468235519292e-18
363.0505487164007 3.0921702881584845e-18
363.1126577471906 1.3444633687434329e-16
363.17476677798044 4.874855350412341e-18
363.2368758087703 2.345093846125092e-18
363.2989848395602 3.11763111420802e-18
363.3610938703501 3.234666210741157e-18
363.4232029011399 5.302167755870497e-18
363.4853119319298 2.0095527869314786e-18
363.5474209627197 2.581655507196376e-18
363.60952999350957 4.45020936165875e-18
363.67163902429945 3.2765730417294716e-18
363.73374805508934 4.000589135850958e-18
363.7958570858792 2.5150165962781852e-18
363.8579661166691 3.3203784590187486e-18
363.920075147459 2.7179678411099082e-18
363.9821841782488 3.686891641888185e-18
364.0442932090387 3.1049285151313493e-18
364.1064022398286 2.9068779018386967e-18
364.1685112706184 2.247563254845649e-18
364.2306203014083 2.7476551464992832e-18
364.2927293321982 2.7950087550261064e-18
364.35483836298806 3.252577359339921e-18
364.41694739377795 3.2137495013866817e-18
364.47905642456783 4.117114895921915e-18
364.5411654553577 3.507677999094896e-18
364.6032744861476 2.938927635057523e-18
364.6653835169375 3.711093705840568e-18
364.72749254772737 3.1934562794189183e-18
364.7896015785172 3.3262042920729595e-18
364.8517106093071 4.7065575965726086e-18
364.91381964009696 3.6499236995422714e-18
364.9759286708868 2.345475176387479e-18
365.03803770167667 2.6394605427628066e-18
365.10014673246656 3.923068663974632e-18
365.16225576325644 2.4870868428953322e-18
365.2243647940463 3.170780777287002e-18
365.2864738248362 4.110492074347509e-18
365.3485828556261 2.215298454667559e-18
365.410691886416 2.2851964571992085e-18
365.47280091720586 2.8699281574662592e-18
365.5349099479957 2.1893636541270306e-18
365.59701897878557 2.12972806786502e-18
365.65912800957545 3.260935605839463e-18
365.72123704036534 2.351740862732415e-18
365.78334607115517 4.23749200892492e-18
365.84545510194505 4.097845309962186e-18
365.90756413273493 2.2447034846729e-18
365.9696731635248 1.3346968637946315e-18
366.0317821943147 3.3141932159883833e-18
366.0938912251046 2.4596511231333266e-18
366.15600025589447 2.7044883126428972e-18
366.21810928668435 2.350333414920156e-18
366.28021831747424 3.355195524976871e-18
366.34232734826406 2.3786825488735734e-18
366.40443637905395 3.4249280913860102e-18
366.46654540984383 3.2883293461853815e-18
366.52865444063366 3.96067808488558e-18
366.59076347142354 2.557315304081697e-18
366.6528725022134 3.1745188064751292e-18
366.7149815330033 3.2338530921990173e-18
366.7770905637932 1.951444382875394e-18
366.8391995945831 2.1241824422433115e-18
366.90130862537296 2.840373614565199e-18
366.96341765616285 2.4615718365156747e-18
367.02552668695273 3.2650628235057962e-18
367.0876357177426 3.260273034168808e-18
367.14974474853244 1.892027792680557e-18
367.2118537793223 2.5789373917035267e-18
367.2739628101122 2.7698655663317915e-18
367.33607184090204 2.99823483061635e-18
367.3981808716919 2.2504015183224717e-18
367.4602899024818 1.7538143909242247e-18
367.5223989332717 2.7247736763948414e-18
367.5845079640616 2.9996637851245355e-18
367.64661699485146 3.1337261877719235e-18
367.70872602564134 3.2819108382222763e-18
367.7708350564312 2.307793377172932e-18
367.8329440872211 1.7885505999774703e-18
367.895053118011 1.778026381043958e-18
367.9571621488008 1.990557824935117e-18
368.0192711795907 1.0842272980966107e-18
368.0813802103806 1.725090750948474e-18
368.1434892411704 3.123036739511054e-18
368.2055982719603 1.5761417856121222e-18
368.2677073027502 1.5837192770109908e-18
368.32981633354007 1.4467184186350847e-18
368.39192536432995 2.764864845938602e-18
368.45403439511983 1.8455902866821363e-18
368.5161434259097 2.524095523886414e-18
368.5782524566996 2.6420415530691252e-18
368.6403614874895 2.530041091334292e-18
368.7024705182793 1.7349199313722884e-18
368.7645795490692 2.0725560322623456e-18
368.8266885798591 2.569997844028513e-18
368.8887976106489 1.7542401821445364e-18
368.9509066414388 2.0183419945301608e-18
369.0130156722287 1.7643226866309452e-18
369.07512470301856 2.171008723129632e-18
369.13723373380844 2.545910758181275e-18
369.1993427645983 1.8033155671163887e-18
369.2614517953882 1.1664989920138646e-18
369.3235608261781 2.117156576915439e-18
369.385669856968 2.5911167990427575e-18
369.44777888775786 1.891418987749718e-18
369.5098879185477 1.5310343860386868e-18
369.5719969493376 1.4299388531142934e-18
369.63410598012746 2.103275659056187e-18
369.6962150109173 3.1895513665422086e-18
369.75832404170717 1.6092028505273713e-18
369.82043307249705 1.1792520491079009e-18
369.88254210328694 2.9267993061211176e-18
369.9446511340768 3.1827966096601005e-18
370.0067601648667 3.858073360933584e-18
370.0688691956566 2.9564398758058833e-18
370.1309782264465 1.1364567227441277e-18
370.19308725723636 1.899273274461062e-18
370.25519628802624 1.5146049247121586e-18
370.31730531881607 1.4586780027265295e-18
370.37941434960595 3.4733094718239306e-18
370.44152338039584 1.76419385325054e-18
370.50363241118566 1.4761640838880177e-18
370.56574144197555 1.0860501973715245e-18
370.62785047276543 1.9880977897933844e-18
370.6899595035553 2.2331715529581452e-18
370.7520685343452 2.0379629254550717e-18
370.8141775651351 1.6655635253467079e-18
370.87628659592497 2.2134639748640694e-18
370.93839562671485 2.400731668486634e-18
371.00050465750473 2.617468085021706e-18
371.06261368829456 2.1799509591416366e-18
371.12472271908445 2.30696164706701e-18
371.18683174987433 2.4441652680905682e-18
371.2489407806642 2.299372058151683e-18
371.31104981145404 1.895720947320453e-18
371.3731588422439 1.1288137806792909e-18
371.4352678730338 2.2408690889434106e-18
371.4973769038237 2.1254238335476004e-18
371.5594859346136 1.6651856072043477e-18
371.62159496540346 1.2926020560121142e-18
371.68370399619334 1.2779897036962119e-18
371.7458130269832 2.52623419936017e-18
371.8079220577731 2.353421693737123e-18
371.87003108856294 2.196443699785025e-18
